soil,hzn,trat,method,rep,dp_mm,log10_dp,max_likeli,p2_5,p97_5
BJS,HZN1,REM,CLASSIC,A,0.946096,-0.024065,0.101424,0.0764453,0.126953
BJS,HZN1,REM,CLASSIC,A,0.969523,-0.0134417,0.102452,0.0773142,0.128069
BJS,HZN1,REM,CLASSIC,A,0.993531,-0.00281839,0.103485,0.0781885,0.129186
BJS,HZN1,REM,CLASSIC,A,1.01813,0.00780492,0.104523,0.0790682,0.130306
BJS,HZN1,REM,CLASSIC,A,1.04335,0.0184282,0.105565,0.0799533,0.131427
BJS,HZN1,REM,CLASSIC,A,1.06918,0.0290515,0.106612,0.0808438,0.13255
BJS,HZN1,REM,CLASSIC,A,1.09566,0.0396748,0.107662,0.0817397,0.133675
BJS,HZN1,REM,CLASSIC,A,1.12279,0.0502981,0.108718,0.082641,0.134801
BJS,HZN1,REM,CLASSIC,A,1.15059,0.0609215,0.109853,0.083664,0.135972
BJS,HZN1,REM,CLASSIC,A,1.17908,0.0715448,0.111165,0.0849557,0.137239
BJS,HZN1,REM,CLASSIC,A,1.20828,0.0821681,0.112642,0.0864986,0.138598
BJS,HZN1,REM,CLASSIC,A,1.2382,0.0927914,0.114273,0.0882747,0.140042
BJS,HZN1,REM,CLASSIC,A,1.26886,0.10341500000000001,0.116044,0.0902658,0.141565
BJS,HZN1,REM,CLASSIC,A,1.30028,0.114038,0.117945,0.0924535,0.14316
BJS,HZN1,REM,CLASSIC,A,1.33248,0.124661,0.119965,0.0948199,0.144821
BJS,HZN1,REM,CLASSIC,A,1.36548,0.135285,0.12209,0.0973467,0.146542
BJS,HZN1,REM,CLASSIC,A,1.39929,0.145908,0.124309,0.100016,0.148316
BJS,HZN1,REM,CLASSIC,A,1.43394,0.156531,0.126611,0.102809,0.150137
BJS,HZN1,REM,CLASSIC,A,1.46945,0.167155,0.128984,0.105708,0.151999
BJS,HZN1,REM,CLASSIC,A,1.50584,0.177778,0.131416,0.108694,0.153896
BJS,HZN1,REM,CLASSIC,A,1.54313,0.188401,0.133894,0.111751,0.15582
BJS,HZN1,REM,CLASSIC,A,1.58134,0.199024,0.136408,0.114858,0.157766
BJS,HZN1,REM,CLASSIC,A,1.6205,0.209648,0.138946,0.117999,0.159728
BJS,HZN1,REM,CLASSIC,A,1.66062,0.220271,0.141495,0.121154,0.161698
BJS,HZN1,REM,CLASSIC,A,1.70174,0.230894,0.144044,0.124307,0.163672
BJS,HZN1,REM,CLASSIC,A,1.74388,0.241518,0.146582,0.127438,0.165642
BJS,HZN1,REM,CLASSIC,A,1.78707,0.252141,0.149095,0.13053,0.167602
BJS,HZN1,REM,CLASSIC,A,1.83132,0.262764,0.151573,0.133563,0.169546
BJS,HZN1,REM,CLASSIC,A,1.87667,0.273388,0.154004,0.136521,0.171467
BJS,HZN1,REM,CLASSIC,A,1.92314,0.284011,0.156376,0.139385,0.17336
